datetime,sym,price,size
2025.05.05D13:30:01.320628687,IBM,244.09,1
2025.05.05D13:30:01.337129036,IBM,244.09,1
2025.05.05D13:30:01.337471850,IBM,244.09,1
2025.05.05D13:30:01.340042930,IBM,244.09,1
2025.05.05D13:30:01.341994621,IBM,244.09,1
2025.05.05D13:30:01.349076335,IBM,244.09,1
2025.05.05D13:30:01.368171922,IBM,243.8,3
2025.05.05D13:30:01.385111308,IBM,244.09,1
2025.05.05D13:30:01.420974679,IBM,244.09,1
2025.05.05D13:30:01.435905181,IBM,244.09,1
2025.05.05D13:30:01.449073580,IBM,244.09,1
2025.05.05D13:30:01.450303493,IBM,244.09,1
2025.05.05D13:30:01.450739527,IBM,243.74,11
2025.05.05D13:30:01.451136454,IBM,243.74,3
2025.05.05D13:30:01.451259726,IBM,243.74,15
2025.05.05D13:30:01.451262744,IBM,243.74,15
2025.05.05D13:30:01.451359363,IBM,243.74,35
2025.05.05D13:30:01.451407198,IBM,243.74,15
2025.05.05D13:30:01.451569459,IBM,243.74,15
2025.05.05D13:30:01.451864534,IBM,243.74,114
2025.05.05D13:30:01.452083731,IBM,243.74,18
2025.05.05D13:30:01.452137905,IBM,243.74,7
2025.05.05D13:30:01.452267121,IBM,243.74,7
2025.05.05D13:30:01.453181375,IBM,243.74,18
2025.05.05D13:30:01.453250610,IBM,243.74,15
2025.05.05D13:30:01.453427957,IBM,243.74,4
2025.05.05D13:30:01.453557205,IBM,243.74,3
2025.05.05D13:30:01.453629346,IBM,243.74,3
2025.05.05D13:30:01.453686619,IBM,243.74,3
2025.05.05D13:30:01.454321046,IBM,243.74,300
2025.05.05D13:30:01.454408296,IBM,243.74,2
2025.05.05D13:30:01.454465390,IBM,243.74,21
2025.05.05D13:30:01.454561589,IBM,243.74,2
2025.05.05D13:30:01.454588751,IBM,243.74,37
2025.05.05D13:30:01.454615709,IBM,243.74,3
2025.05.05D13:30:01.454717974,IBM,243.74,11
2025.05.05D13:30:01.454775090,IBM,243.74,3
2025.05.05D13:30:01.454865352,IBM,243.74,6
2025.05.05D13:30:01.455313397,IBM,243.74,7
2025.05.05D13:30:01.455460840,IBM,243.74,1
2025.05.05D13:30:01.456278745,IBM,243.74,20
2025.05.05D13:30:01.456368877,IBM,243.74,4
2025.05.05D13:30:01.457349259,IBM,243.74,2
2025.05.05D13:30:01.457430411,IBM,243.74,2
2025.05.05D13:30:01.480510373,IBM,244.09,1
2025.05.05D13:30:01.529157240,IBM,243.8,20
2025.05.05D13:30:01.563995173,IBM,243.64,1
2025.05.05D13:30:01.634552179,IBM,243.8,1
2025.05.05D13:30:01.659650685,IBM,243.74,1
2025.05.05D13:30:01.660347723,IBM,243.74,1
2025.05.05D13:30:01.663739805,IBM,243.74,1
2025.05.05D13:30:01.693697124,IBM,243.74,1
2025.05.05D13:30:01.695985533,IBM,243.74,1
2025.05.05D13:30:01.698544586,IBM,243.74,1
2025.05.05D13:30:01.700833015,IBM,243.74,1
2025.05.05D13:30:01.702544097,IBM,243.74,1
2025.05.05D13:30:01.704240160,IBM,243.74,1
2025.05.05D13:30:01.705888148,IBM,243.74,1
2025.05.05D13:30:01.709565789,IBM,243.74,1
2025.05.05D13:30:01.711039368,IBM,243.74,1
2025.05.05D13:30:01.713625601,IBM,243.74,1
